source,periodo_mensual_A,target,evento_crediticio,weight
30500120882,2024-05,30509300700,Upgrade,0.301194211912202
30500120882,2024-05,30525322749,Upgrade,0.16529888822158653
30500120882,2024-05,30525698412,Upgrade,0.1353352832366127
30500120882,2024-05,30526552659,Upgrade,0.301194211912202
30500120882,2024-05,30576721710,Upgrade,0.44932896411722156
30500120882,2024-05,30629827060,Upgrade,0.16529888822158653
30500120882,2024-05,30638375628,Upgrade,0.6703200460356393
30500120882,2024-05,30642617555,Upgrade,0.11080315836233387
30500120882,2024-05,30655116202,Upgrade,0.8187307530779818
30500120882,2024-05,30655942382,Upgrade,0.301194211912202
30500120882,2024-05,30657863676,Upgrade,0.36787944117144233
30500120882,2024-05,30657864281,Upgrade,0.36787944117144233
30500120882,2024-05,30659151185,Upgrade,0.44932896411722156
30500120882,2024-05,30665234114,Upgrade,0.16529888822158653
30500120882,2024-05,30682434720,Upgrade,0.11080315836233387
30500120882,2024-05,30691576511,Upgrade,0.44932896411722156
30500120882,2024-05,30699542454,Upgrade,0.11080315836233387
30500120882,2024-05,30703605105,Upgrade,0.09071795328941247
30500120882,2024-05,30708430001,Upgrade,0.1353352832366127
30500120882,2024-05,30709346268,Upgrade,0.36787944117144233
30500120882,2024-05,30714128309,Upgrade,0.16529888822158653
30500120882,2024-05,30714155128,Upgrade,0.36787944117144233
30500120882,2024-05,33572266449,Upgrade,0.5488116360940264
30500120882,2024-05,33657865589,Upgrade,0.36787944117144233
30500120882,2024-05,33711316839,Upgrade,0.11080315836233387
30500179151,2025-07,30501062150,Downgrade,0.6703200460356393
30500179151,2025-07,30502112259,Downgrade,0.8187307530779818
30500179151,2025-07,30511190238,Downgrade,0.5488116360940264
30500179151,2025-07,30593174057,Downgrade,0.8187307530779818
30500179151,2025-07,30629827060,Downgrade,0.24659696394160643
30500179151,2025-07,30637695335,Downgrade,0.36787944117144233
30500179151,2025-07,30646167775,Downgrade,0.20189651799465538
30500179151,2025-07,30651863658,Downgrade,0.8187307530779818
30500179151,2025-07,30658531332,Downgrade,0.6703200460356393
30500179151,2025-07,30658840165,Downgrade,0.5488116360940264
30500179151,2025-07,30682434720,Downgrade,0.44932896411722156
30500179151,2025-07,30684521841,Downgrade,0.8187307530779818
30500179151,2025-07,30689001269,Downgrade,0.5488116360940264
30500179151,2025-07,30693160789,Downgrade,0.36787944117144233
30500179151,2025-07,30707943617,Downgrade,0.8187307530779818
30500179151,2025-07,30708329122,Downgrade,0.8187307530779818
30500179151,2025-07,30709282537,Downgrade,0.5488116360940264
30500179151,2025-07,30712156909,Downgrade,0.8187307530779818
30500179151,2025-07,30712255095,Downgrade,0.36787944117144233
30500179151,2025-07,30713322705,Downgrade,0.20189651799465538
30500179151,2025-07,30714814229,Downgrade,0.8187307530779818
30500179151,2025-07,30715451235,Downgrade,0.8187307530779818
30500179151,2025-07,30718204549,Downgrade,0.36787944117144233
30500179151,2025-07,33572266449,Downgrade,0.20189651799465538
30500179151,2025-07,33711944899,Downgrade,0.36787944117144233
30500235566,2023-05,30500120882,Upgrade,0.09071795328941247
30500235566,2023-05,30500858628,Upgrade,0.24659696394160643
30500235566,2023-05,30501062150,Upgrade,0.36787944117144233
